source,destination,mode,distance,time_of_day,weather,traffic_level,travel_time
B,A,rail,40,12,rainy,low,37.5
E,B,road,26,12,foggy,low,65.0
B,A,rail,13,18,foggy,high,23.21
A,C,air,50,12,foggy,low,8.33
B,E,rail,37,0,rainy,low,34.69
B,E,air,17,0,rainy,high,3.04
B,D,air,16,12,foggy,medium,2.96
E,B,road,28,18,rainy,high,75.0
B,E,road,41,6,rainy,medium,85.42
E,A,air,31,0,sunny,medium,3.44
B,C,rail,21,0,foggy,high,37.5
E,A,rail,45,6,foggy,low,56.25
C,D,road,32,0,sunny,medium,53.33
E,C,air,32,6,foggy,high,7.62
E,D,rail,9,0,foggy,medium,12.5
A,B,road,23,12,foggy,medium,63.89
C,E,air,34,0,rainy,high,6.07
B,C,air,50,6,foggy,low,8.33
D,E,rail,13,12,rainy,medium,13.54
A,E,air,41,6,rainy,medium,5.69
B,A,rail,13,12,foggy,medium,18.06
C,D,rail,49,6,rainy,high,65.62
A,C,road,30,12,rainy,high,80.36
A,B,road,17,0,foggy,high,60.71
B,A,rail,12,18,sunny,high,12.86
E,A,rail,11,0,rainy,high,14.73
C,B,rail,16,0,foggy,medium,22.22
C,E,road,27,6,foggy,medium,75.0
B,D,road,22,6,sunny,high,47.14
A,D,rail,31,12,sunny,low,23.25
B,D,air,37,0,rainy,high,6.61
C,A,rail,25,0,sunny,medium,20.83
C,B,air,41,0,rainy,high,7.32
A,B,air,13,18,foggy,high,3.1
B,A,rail,49,12,sunny,high,52.5
E,A,road,32,6,rainy,low,60.0
C,A,rail,25,6,foggy,high,44.64
D,B,air,44,0,sunny,low,4.4
D,E,road,44,12,foggy,high,157.14
A,B,air,37,0,sunny,high,5.29
E,A,air,35,0,foggy,high,8.33
B,C,air,26,18,rainy,medium,3.61
A,B,air,39,18,foggy,high,9.29
E,B,air,36,6,sunny,medium,4.0
E,D,road,27,0,foggy,low,67.5
B,C,air,21,0,sunny,low,2.1
A,E,road,27,6,sunny,low,40.5
C,A,rail,45,18,sunny,low,33.75
C,E,air,19,12,foggy,medium,3.52
A,C,rail,26,0,sunny,low,19.5
A,B,road,36,12,foggy,medium,100.0
D,E,air,20,18,foggy,high,4.76
A,C,road,37,12,foggy,medium,102.78
B,D,rail,21,18,foggy,low,26.25
B,C,road,38,18,sunny,high,81.43
D,C,air,30,12,rainy,low,3.75
C,D,air,6,12,foggy,low,1.0
C,B,rail,45,18,rainy,medium,46.87
B,E,rail,40,0,rainy,medium,41.67
C,B,road,22,12,rainy,low,41.25
A,E,air,20,6,rainy,low,2.5
C,B,road,45,18,rainy,medium,93.75
C,D,rail,50,0,sunny,high,53.57
B,D,road,9,6,foggy,low,22.5
E,C,road,49,18,sunny,high,105.0
C,E,air,38,12,foggy,high,9.05
C,E,road,37,12,rainy,high,99.11
D,B,road,30,18,rainy,medium,62.5
E,A,road,15,12,foggy,low,37.5
E,C,road,19,18,foggy,low,47.5
B,D,rail,48,12,rainy,high,64.29
D,C,road,14,6,rainy,high,37.5
E,C,road,18,0,sunny,medium,30.0
B,A,air,47,0,rainy,low,5.88
C,A,air,46,0,sunny,medium,5.11
A,B,rail,23,6,rainy,low,21.56
C,B,road,32,0,rainy,low,60.0
D,A,rail,10,6,foggy,medium,13.89
C,B,air,5,18,foggy,medium,0.93
D,A,rail,19,0,sunny,medium,15.83
D,B,road,46,6,rainy,high,123.21
D,A,air,34,12,rainy,low,4.25
B,E,rail,28,6,rainy,high,37.5
B,E,road,43,12,rainy,high,115.18
B,D,rail,32,18,sunny,medium,26.67
D,A,road,43,6,sunny,high,92.14
C,D,rail,32,6,foggy,medium,44.44
C,B,rail,32,12,rainy,low,30.0
E,D,road,7,0,foggy,high,25.0
E,B,road,5,6,rainy,medium,10.42
C,B,air,32,18,rainy,medium,4.44
D,B,air,20,0,sunny,high,2.86
A,B,road,24,0,foggy,medium,66.67
A,D,air,39,18,foggy,low,6.5
E,D,road,46,6,sunny,low,69.0
B,E,air,34,0,rainy,low,4.25
C,A,rail,33,12,foggy,high,58.93
E,D,road,23,6,rainy,low,43.12
D,A,air,47,18,sunny,low,4.7
E,B,rail,47,12,sunny,medium,39.17
A,B,rail,19,18,rainy,low,17.81
E,B,air,45,18,sunny,low,4.5
B,A,rail,35,12,sunny,low,26.25
E,D,rail,47,0,foggy,low,58.75
E,B,rail,31,6,rainy,low,29.06
A,B,air,43,6,foggy,high,10.24
E,D,air,14,18,rainy,high,2.5
C,A,rail,15,6,rainy,low,14.06
D,A,rail,23,0,sunny,medium,19.17
B,C,rail,46,18,rainy,high,61.61
C,A,air,42,0,foggy,medium,7.78
E,A,air,17,18,foggy,medium,3.15
D,E,road,6,0,rainy,low,11.25
E,C,rail,25,12,rainy,medium,26.04
B,C,air,28,0,sunny,low,2.8
D,E,air,25,12,foggy,low,4.17
B,C,air,43,6,foggy,low,7.17
A,D,rail,37,18,rainy,medium,38.54
B,A,air,33,0,sunny,medium,3.67
A,B,rail,16,18,foggy,medium,22.22
C,B,road,48,0,foggy,low,120.0
B,D,rail,26,6,sunny,high,27.86
A,E,air,21,6,rainy,low,2.62
E,A,road,34,0,rainy,high,91.07
B,C,air,6,18,foggy,low,1.0
C,B,rail,43,6,rainy,high,57.59
D,B,air,28,18,rainy,medium,3.89
B,E,road,40,0,rainy,medium,83.33
E,B,rail,30,6,foggy,high,53.57
E,A,rail,33,6,sunny,low,24.75
D,C,air,14,12,foggy,high,3.33
B,D,rail,30,6,foggy,high,53.57
C,B,road,44,6,rainy,low,82.5
A,B,air,48,0,sunny,medium,5.33
A,D,road,32,0,rainy,medium,66.67
D,A,road,39,6,foggy,high,139.29
B,C,air,10,18,sunny,medium,1.11
A,D,air,31,18,rainy,high,5.54
B,C,air,20,18,sunny,medium,2.22
D,A,road,48,18,rainy,low,90.0
A,C,rail,34,18,foggy,high,60.71
B,E,road,30,12,foggy,medium,83.33
B,C,rail,8,0,sunny,high,8.57
B,A,rail,20,0,rainy,high,26.79
A,C,air,18,6,sunny,medium,2.0
B,E,rail,35,6,sunny,high,37.5
C,B,rail,14,18,sunny,low,10.5
E,C,road,49,12,rainy,medium,102.08
C,D,rail,41,18,foggy,low,51.25
D,A,rail,19,12,foggy,low,23.75
D,C,rail,46,6,foggy,medium,63.89
B,A,air,39,18,sunny,medium,4.33
C,A,air,29,0,rainy,high,5.18
A,B,road,38,0,rainy,medium,79.17
A,E,rail,11,12,sunny,high,11.79
E,B,road,13,6,foggy,medium,36.11
E,C,air,32,6,sunny,medium,3.56
A,D,rail,24,6,rainy,low,22.5
E,A,rail,32,0,rainy,medium,33.33
C,E,rail,15,6,foggy,low,18.75
B,D,road,16,18,rainy,low,30.0
E,D,air,33,6,foggy,medium,6.11
B,D,road,15,18,sunny,medium,25.0
A,B,road,30,18,rainy,medium,62.5
D,A,air,5,6,sunny,medium,0.56
C,D,rail,21,0,sunny,low,15.75
E,C,rail,37,18,foggy,medium,51.39
C,D,road,18,0,sunny,low,27.0
A,B,air,48,0,sunny,medium,5.33
E,D,air,14,18,rainy,high,2.5
A,B,rail,26,0,foggy,low,32.5
E,C,rail,34,12,sunny,high,36.43
A,E,road,16,0,rainy,high,42.86
C,E,rail,24,12,rainy,high,32.14
A,C,rail,13,18,foggy,high,23.21
B,A,air,38,0,rainy,high,6.79
E,A,rail,11,12,rainy,medium,11.46
C,E,air,47,0,rainy,high,8.39
C,B,rail,43,18,sunny,high,46.07
A,E,road,49,6,rainy,high,131.25
A,C,rail,49,6,rainy,low,45.94
D,E,road,5,6,sunny,low,7.5
B,D,air,38,6,foggy,high,9.05
E,C,road,12,6,rainy,low,22.5
A,B,rail,37,0,sunny,medium,30.83
C,D,air,27,6,sunny,medium,3.0
D,E,air,26,12,sunny,high,3.71
E,A,road,10,0,sunny,low,15.0
C,E,air,36,6,foggy,low,6.0
B,D,road,44,0,rainy,low,82.5
E,B,road,27,6,sunny,medium,45.0
E,C,air,42,6,foggy,high,10.0
E,C,road,46,18,sunny,medium,76.67
B,D,road,11,6,foggy,high,39.29
B,D,rail,9,18,rainy,medium,9.37
B,C,air,21,0,sunny,low,2.1
D,A,road,47,18,rainy,low,88.12
C,A,rail,35,12,rainy,medium,36.46
D,C,road,24,18,foggy,medium,66.67
E,C,road,43,12,sunny,medium,71.67
B,E,rail,41,12,sunny,low,30.75
D,E,road,5,18,sunny,medium,8.33
C,D,rail,5,6,sunny,high,5.36
D,B,air,35,6,foggy,medium,6.48
A,E,air,27,18,sunny,high,3.86
E,C,rail,7,6,foggy,medium,9.72
E,C,rail,25,18,sunny,low,18.75
B,C,air,37,18,foggy,high,8.81
C,A,air,37,18,foggy,high,8.81
A,E,rail,37,12,sunny,low,27.75
D,E,road,26,12,sunny,medium,43.33
B,D,road,43,6,sunny,medium,71.67
D,C,air,6,12,foggy,medium,1.11
A,E,rail,27,12,rainy,high,36.16
B,D,rail,47,18,foggy,medium,65.28
E,B,road,9,0,sunny,high,19.29
D,A,air,32,18,rainy,low,4.0
D,A,rail,12,0,foggy,medium,16.67
C,D,rail,14,12,rainy,low,13.12
A,B,rail,28,18,rainy,medium,29.17
D,C,rail,23,0,sunny,medium,19.17
A,C,road,15,18,sunny,medium,25.0
A,C,air,19,6,rainy,low,2.38
B,E,rail,20,0,foggy,low,25.0
D,E,air,15,0,rainy,medium,2.08
C,B,rail,37,0,foggy,low,46.25
B,E,air,28,0,sunny,high,4.0
E,B,air,46,12,foggy,medium,8.52
B,A,rail,28,18,foggy,high,50.0
D,C,air,31,18,sunny,high,4.43
D,B,rail,44,12,foggy,high,78.57
A,C,road,10,6,foggy,low,25.0
B,C,rail,42,6,foggy,low,52.5
C,D,road,28,12,rainy,high,75.0
E,D,air,43,18,sunny,low,4.3
B,D,air,19,0,foggy,low,3.17
C,B,road,30,0,sunny,low,45.0
D,E,air,38,6,rainy,high,6.79
A,C,road,14,6,rainy,medium,29.17
E,A,road,5,6,sunny,high,10.71
C,E,road,28,12,rainy,medium,58.33
B,A,road,35,18,rainy,medium,72.92
B,A,road,38,0,rainy,high,101.79
D,B,air,40,12,foggy,low,6.67
C,A,air,18,6,foggy,low,3.0
A,D,rail,39,0,sunny,low,29.25
D,E,road,17,12,foggy,high,60.71
A,C,road,12,0,rainy,medium,25.0
D,C,air,11,12,foggy,medium,2.04
D,E,air,16,12,sunny,medium,1.78
B,C,air,26,6,foggy,low,4.33
A,B,air,42,6,foggy,high,10.0
A,D,air,12,6,sunny,high,1.71
D,C,road,19,18,rainy,medium,39.58
E,A,air,27,12,sunny,high,3.86
D,E,road,29,12,sunny,high,62.14
C,A,rail,13,12,sunny,high,13.93
E,D,air,31,12,foggy,high,7.38
C,E,air,36,18,foggy,high,8.57
B,C,road,15,18,foggy,medium,41.67
A,B,rail,40,12,sunny,medium,33.33
B,D,rail,19,18,rainy,low,17.81
A,E,road,39,6,sunny,medium,65.0
C,D,road,9,18,foggy,low,22.5
B,C,road,11,12,rainy,low,20.62
A,D,rail,21,6,foggy,high,37.5
B,C,road,40,6,rainy,medium,83.33
D,E,road,12,6,sunny,high,25.71
E,C,air,25,0,rainy,high,4.46
E,B,air,27,0,sunny,high,3.86
E,B,road,41,6,sunny,high,87.86
B,A,road,13,18,sunny,medium,21.67
C,B,road,24,6,rainy,medium,50.0
D,A,rail,31,0,foggy,medium,43.06
D,A,air,20,18,rainy,medium,2.78
B,E,air,12,18,rainy,medium,1.67
B,D,road,48,0,rainy,high,128.57
A,C,rail,10,0,sunny,high,10.71
D,B,road,9,18,foggy,high,32.14
D,C,road,44,18,foggy,low,110.0
A,D,air,10,12,rainy,low,1.25
E,D,rail,47,18,foggy,low,58.75
D,E,rail,27,12,sunny,low,20.25
C,E,rail,41,0,sunny,low,30.75
E,C,rail,37,0,sunny,low,27.75
D,A,rail,34,6,sunny,high,36.43
E,D,air,10,6,sunny,medium,1.11
A,B,rail,50,0,rainy,medium,52.08
D,A,rail,18,0,rainy,low,16.88
B,E,rail,8,18,rainy,high,10.71
C,D,road,45,6,foggy,high,160.71
C,E,road,28,12,sunny,low,42.0
B,C,air,47,18,sunny,high,6.71
C,B,rail,9,6,foggy,low,11.25
A,E,rail,10,12,foggy,low,12.5
C,E,road,49,18,rainy,low,91.88
E,D,rail,33,6,sunny,medium,27.5
D,E,rail,41,18,foggy,high,73.21
B,A,air,6,18,rainy,high,1.07
E,C,air,23,18,foggy,medium,4.26
B,C,road,26,0,sunny,medium,43.33
C,E,road,28,0,foggy,medium,77.78
A,C,air,28,18,sunny,medium,3.11
C,B,road,47,6,sunny,high,100.71
D,C,rail,32,6,rainy,low,30.0
A,B,road,25,18,rainy,high,66.96
A,C,air,7,18,sunny,high,1.0
B,C,rail,33,6,sunny,high,35.36
B,A,rail,27,18,foggy,high,48.21
B,E,air,46,18,rainy,low,5.75
D,C,road,14,0,sunny,low,21.0
A,C,rail,50,0,foggy,low,62.5
B,D,air,19,0,rainy,high,3.39
E,A,air,42,6,rainy,low,5.25
C,E,air,7,18,foggy,high,1.67
C,A,road,20,6,sunny,low,30.0
D,B,road,16,12,sunny,medium,26.67
B,D,road,5,18,rainy,medium,10.42
B,C,road,31,12,foggy,high,110.71
B,C,rail,50,6,foggy,high,89.29
A,D,road,18,0,sunny,medium,30.0
B,A,air,36,0,foggy,low,6.0
E,B,road,25,6,rainy,medium,52.08
B,A,air,40,18,sunny,low,4.0
D,A,air,49,0,foggy,high,11.67
A,D,road,32,0,rainy,medium,66.67
C,A,air,43,0,foggy,high,10.24
D,A,road,38,12,rainy,low,71.25
B,D,air,15,12,foggy,low,2.5
E,C,rail,37,0,sunny,low,27.75
A,C,road,39,12,foggy,medium,108.33
E,B,road,32,18,rainy,medium,66.67
E,B,rail,44,12,rainy,medium,45.83
B,A,air,22,12,foggy,medium,4.07
C,A,air,13,0,sunny,medium,1.44
B,C,rail,43,12,rainy,high,57.59
C,E,road,50,0,sunny,medium,83.33
A,D,air,6,0,sunny,medium,0.67
C,E,air,8,18,rainy,low,1.0
A,E,rail,46,6,sunny,low,34.5
E,B,road,17,12,foggy,medium,47.22
D,A,road,36,18,rainy,medium,75.0
B,D,air,37,18,rainy,medium,5.14
C,E,air,39,6,foggy,high,9.29
A,E,air,10,0,sunny,low,1.0
E,C,road,23,18,rainy,low,43.12
E,A,rail,27,18,foggy,low,33.75
E,C,rail,31,18,sunny,high,33.21
C,A,rail,47,0,sunny,low,35.25
C,B,air,46,0,sunny,high,6.57
E,A,air,49,12,rainy,high,8.75
B,A,air,16,18,rainy,low,2.0
C,E,air,15,18,sunny,medium,1.67
A,D,road,28,0,foggy,high,100.0
A,E,road,49,12,sunny,medium,81.67
A,C,air,38,0,foggy,low,6.33
A,E,road,12,12,sunny,medium,20.0
A,D,air,7,18,sunny,low,0.7
C,B,road,26,0,rainy,low,48.75
B,C,rail,47,18,sunny,medium,39.17
A,B,road,26,0,foggy,low,65.0
D,B,rail,21,12,sunny,high,22.5
D,A,rail,24,6,rainy,low,22.5
C,E,road,9,12,foggy,low,22.5
B,E,air,15,18,sunny,low,1.5
B,D,rail,48,6,foggy,low,60.0
E,B,rail,29,6,rainy,medium,30.21
C,B,road,8,18,foggy,low,20.0
E,D,road,23,12,sunny,medium,38.33
A,B,air,21,6,rainy,low,2.62
D,C,road,48,0,foggy,low,120.0
C,B,air,5,18,sunny,medium,0.56
C,E,rail,31,0,foggy,high,55.36
E,D,road,15,0,foggy,high,53.57
D,E,air,46,18,foggy,medium,8.52
D,A,rail,15,18,foggy,medium,20.83
A,E,rail,24,12,sunny,high,25.71
A,C,air,20,12,sunny,low,2.0
A,D,road,48,0,rainy,low,90.0
C,E,road,38,18,sunny,high,81.43
A,C,air,17,18,foggy,medium,3.15
C,D,rail,7,18,sunny,low,5.25
B,E,road,16,18,rainy,high,42.86
C,B,rail,7,12,rainy,low,6.56
A,C,road,31,12,rainy,high,83.04
A,B,air,36,0,sunny,medium,4.0
A,B,rail,9,0,rainy,high,12.05
D,C,air,11,12,rainy,low,1.38
D,E,road,44,18,rainy,low,82.5
E,A,road,30,18,sunny,medium,50.0
C,B,road,46,18,foggy,low,115.0
B,C,road,22,0,sunny,medium,36.67
D,B,air,42,12,rainy,low,5.25
B,E,road,5,18,sunny,medium,8.33
E,A,air,31,0,rainy,medium,4.31
D,A,rail,44,12,sunny,medium,36.67
C,E,rail,47,0,sunny,medium,39.17
A,D,road,32,6,foggy,high,114.29
D,A,air,24,6,foggy,low,4.0
C,D,road,13,18,sunny,high,27.86
C,E,air,42,0,sunny,high,6.0
C,E,road,38,18,foggy,low,95.0
B,A,road,22,12,rainy,high,58.93
E,A,road,20,12,foggy,medium,55.56
E,B,air,18,0,sunny,low,1.8
B,A,air,19,0,foggy,medium,3.52
D,B,rail,47,18,sunny,medium,39.17
B,D,rail,49,6,foggy,high,87.5
B,A,air,39,12,foggy,low,6.5
A,B,rail,46,12,foggy,low,57.5
E,A,road,6,12,rainy,medium,12.5
C,D,rail,18,12,foggy,high,32.14
E,C,road,29,12,sunny,low,43.5
B,A,rail,14,6,foggy,high,25.0
C,B,rail,10,12,foggy,medium,13.89
B,A,rail,6,6,foggy,medium,8.33
D,A,road,19,0,foggy,medium,52.78
C,B,air,17,12,foggy,high,4.05
E,D,rail,10,18,sunny,medium,8.33
E,D,road,50,6,foggy,high,178.57
C,A,road,20,12,sunny,high,42.86
B,D,road,16,0,foggy,high,57.14
C,A,air,27,6,sunny,high,3.86
A,B,air,20,18,rainy,high,3.57
B,C,rail,49,0,foggy,low,61.25
C,E,road,5,0,rainy,low,9.38
E,B,air,43,12,foggy,high,10.24
B,A,air,49,18,rainy,medium,6.81
C,D,road,17,0,rainy,low,31.88
B,A,air,11,0,sunny,high,1.57
E,C,rail,47,12,foggy,high,83.93
A,E,air,6,6,sunny,medium,0.67
D,E,road,13,12,rainy,high,34.82
D,A,air,37,6,rainy,low,4.62
D,E,air,49,12,sunny,low,4.9
E,C,air,42,12,sunny,low,4.2
E,C,air,20,12,rainy,low,2.5
B,E,rail,23,0,sunny,medium,19.17
D,B,road,46,18,foggy,medium,127.78
D,C,road,48,0,rainy,high,128.57
B,D,air,31,12,rainy,high,5.54
B,A,air,45,0,sunny,low,4.5
E,D,air,10,18,rainy,medium,1.39
D,A,road,22,12,rainy,low,41.25
D,E,air,44,0,foggy,high,10.48
D,A,rail,11,18,foggy,medium,15.28
E,C,rail,18,0,rainy,medium,18.75
D,A,air,18,0,sunny,high,2.57
A,D,air,24,6,rainy,low,3.0
C,E,air,44,18,sunny,low,4.4
C,E,rail,26,0,foggy,high,46.43
E,C,rail,28,0,foggy,low,35.0
B,A,rail,38,18,sunny,high,40.71
C,A,air,42,0,foggy,medium,7.78
B,C,air,20,18,sunny,high,2.86
B,C,road,21,12,rainy,medium,43.75
B,D,rail,23,18,foggy,low,28.75
C,D,air,10,0,rainy,medium,1.39
D,C,rail,29,6,foggy,medium,40.28
D,C,air,18,18,sunny,medium,2.0
E,A,rail,29,18,foggy,low,36.25
A,B,air,23,0,rainy,high,4.11
B,E,road,20,0,rainy,low,37.5
A,B,air,48,0,foggy,medium,8.89
B,C,air,21,18,foggy,low,3.5
B,A,rail,30,0,sunny,low,22.5
E,B,road,50,0,foggy,medium,138.89
B,C,air,35,12,sunny,medium,3.89
D,C,rail,22,0,sunny,medium,18.33
A,D,road,43,12,foggy,high,153.57
A,E,air,8,18,rainy,medium,1.11
B,D,road,43,0,sunny,high,92.14
A,C,rail,39,12,foggy,medium,54.17
E,D,rail,12,12,foggy,high,21.43
A,B,rail,12,6,foggy,high,21.43
A,B,air,42,12,sunny,low,4.2
D,B,air,42,12,rainy,high,7.5
E,A,road,19,6,sunny,medium,31.67
D,E,air,23,6,sunny,medium,2.56
D,A,air,26,6,sunny,low,2.6
A,C,air,12,12,rainy,low,1.5
D,A,road,48,0,rainy,medium,100.0
C,B,air,27,0,rainy,low,3.38
D,A,air,21,6,foggy,medium,3.89
B,E,rail,32,0,sunny,high,34.29
D,C,rail,35,0,sunny,low,26.25
B,E,rail,43,6,foggy,low,53.75
A,C,air,10,12,foggy,high,2.38
E,D,air,40,0,sunny,medium,4.44
B,D,road,42,0,sunny,medium,70.0
A,E,rail,28,0,foggy,medium,38.89
C,D,air,15,12,foggy,high,3.57
E,A,rail,9,6,sunny,medium,7.5
E,D,rail,36,18,sunny,high,38.57
E,D,road,28,6,foggy,medium,77.78
E,B,road,41,6,foggy,low,102.5
B,D,rail,20,0,foggy,low,25.0
C,B,road,15,0,sunny,medium,25.0
A,B,rail,44,18,foggy,low,55.0
C,A,air,43,12,rainy,low,5.38
A,E,road,19,0,sunny,medium,31.67
A,D,road,32,6,rainy,low,60.0
D,B,rail,47,0,foggy,high,83.93
B,D,road,30,12,rainy,low,56.25
A,C,rail,32,6,foggy,high,57.14
B,A,road,34,12,sunny,low,51.0
D,C,air,40,6,sunny,medium,4.44
A,B,road,39,0,sunny,high,83.57
E,D,road,34,0,sunny,high,72.86
C,B,road,32,6,rainy,high,85.71
E,A,air,8,12,rainy,high,1.43
E,A,rail,11,6,rainy,medium,11.46
A,D,road,31,12,sunny,low,46.5
C,B,rail,28,6,rainy,low,26.25
C,B,air,19,6,rainy,medium,2.64
A,E,road,48,0,sunny,medium,80.0
E,C,air,11,18,foggy,low,1.83
E,D,rail,30,6,foggy,high,53.57
C,D,rail,40,12,sunny,low,30.0
B,C,air,22,6,rainy,high,3.93
C,B,road,16,12,foggy,high,57.14
B,A,rail,32,0,foggy,low,40.0
E,A,air,43,0,sunny,high,6.14
C,A,rail,44,0,rainy,low,41.25
C,A,air,43,0,foggy,medium,7.96
A,C,road,5,6,sunny,high,10.71
B,A,rail,16,0,sunny,medium,13.33
A,C,rail,45,18,rainy,high,60.27
A,E,air,20,6,rainy,low,2.5
D,E,road,43,6,rainy,low,80.62
E,B,road,15,12,foggy,medium,41.67
B,D,road,25,6,sunny,medium,41.67
D,E,rail,19,12,foggy,high,33.93
E,D,road,37,12,foggy,high,132.14
C,D,rail,24,12,sunny,high,25.71
D,C,air,49,12,foggy,low,8.17
A,E,road,25,12,sunny,high,53.57
E,C,air,35,0,rainy,medium,4.86
E,D,road,43,18,foggy,medium,119.44
D,C,road,7,6,foggy,medium,19.44
C,A,road,22,6,foggy,low,55.0
A,D,road,15,6,rainy,medium,31.25
B,E,rail,31,0,sunny,high,33.21
B,A,air,47,6,rainy,high,8.39
E,D,road,8,18,sunny,low,12.0
B,A,road,38,0,sunny,medium,63.33
A,D,road,33,0,rainy,high,88.39
E,C,rail,34,18,rainy,medium,35.42
D,B,road,36,12,sunny,low,54.0
C,E,air,32,0,sunny,medium,3.56
A,C,air,33,0,rainy,low,4.12
E,B,rail,31,12,sunny,low,23.25
A,D,rail,9,0,foggy,medium,12.5
E,D,road,40,12,sunny,low,60.0
A,C,rail,16,12,sunny,low,12.0
D,E,road,49,12,foggy,high,175.0
C,A,rail,19,6,rainy,medium,19.79
A,B,rail,36,0,foggy,low,45.0
D,E,road,16,18,rainy,high,42.86
D,C,road,15,6,sunny,medium,25.0
C,D,rail,19,12,rainy,high,25.45
E,D,rail,33,18,rainy,low,30.94
A,B,air,41,12,sunny,medium,4.56
D,C,road,37,6,rainy,low,69.38
A,B,air,50,18,sunny,high,7.14
D,E,air,36,0,sunny,medium,4.0
D,A,air,38,0,rainy,medium,5.28
B,D,rail,15,18,sunny,medium,12.5
A,B,air,35,12,rainy,medium,4.86
A,D,rail,26,12,sunny,medium,21.67
E,C,rail,36,12,rainy,high,48.21
D,C,rail,22,0,sunny,high,23.57
C,D,rail,14,6,sunny,low,10.5
C,B,air,42,6,sunny,low,4.2
